trip_id,vessel_id,vessel_type,dwt_tonnes,cargo_capacity_tonnes,engine_power_kw,sfoc_baseline_g_kwh,fuel_type,fuel_energy_density_relative,fuel_cost_per_tonne_usd,emission_factor_wtw_relative,distance_nm,speed_kn,cargo_load_tonnes,cargo_load_ratio,sea_state_douglas,wave_height_m,wind_speed_kn,weather_resistance_factor,voyage_duration_hr,physics_base_fuel_tonnes,engine_efficiency_degradation,auxiliary_power_kw,shore_power_available,fuel_consumed_tonnes,fuel_residual_tonnes,voyage_cost_usd,ghg_emissions_co2e_tonnes
TRIP-0001,VESSEL-004,Feeder Container,22000,18500,9800,180.0,HFO,1.0,620.0,1.0,2708.3,12.28,15850.8,0.8568,3,1.08,18.4,1.0776,220.55,183.705,1.032,867.4,0,243.97,60.265,167061.4,873.413
TRIP-0002,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Methanol,0.5,950.0,0.35,1178.6,12.49,8661.4,0.4682,2,1.23,12.8,1.0442,94.36,151.491,1.032,863.1,1,190.482,38.991,192257.9,238.102
TRIP-0003,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Ammonia,0.46,1100.0,0.15,2187.5,11.25,41169.5,0.5881,4,1.68,24.7,1.112,194.44,308.05,1.04,1109.2,0,449.068,141.018,517724.8,242.497
TRIP-0004,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Ammonia,0.46,1100.0,0.15,1926.0,15.15,50129.6,0.7161,1,0.44,5.9,1.0089,127.13,507.701,1.04,1118.3,1,585.31,77.609,663091.0,316.067
TRIP-0005,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,LNG,1.15,780.0,0.78,3294.8,12.35,79637.1,0.4685,3,1.27,19.9,1.0798,266.79,351.96,1.048,1733.1,0,474.61,122.65,409695.8,1324.162
TRIP-0006,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Methanol,0.5,950.0,0.35,2610.6,16.09,10401.7,0.5623,3,2.63,23.8,1.0857,162.25,569.257,1.032,908.7,1,716.197,146.94,691687.15,895.246
TRIP-0007,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,HFO,1.0,620.0,1.0,1021.4,11.19,49192.7,0.7028,4,1.38,32.8,1.1242,91.28,67.349,1.04,1127.2,1,100.244,32.895,81401.28,358.874
TRIP-0008,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,Methanol,0.5,950.0,0.35,928.7,9.41,18656.1,0.583,5,3.37,26.6,1.1399,98.69,50.292,1.064,632.4,0,87.229,36.937,100617.55,109.036
TRIP-0009,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Ammonia,0.46,1100.0,0.15,2576.6,14.14,53914.1,0.5286,3,2.65,23.9,1.0858,182.22,700.352,1.016,1442.2,0,866.814,166.462,982495.4,468.08
TRIP-0010,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,LNG,1.15,780.0,0.78,3814.3,12.14,33678.2,0.4811,3,1.91,21.7,1.0826,314.19,243.474,1.04,1063.9,1,323.818,80.344,271828.04,903.452
TRIP-0011,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,HFO,1.0,620.0,1.0,1572.1,11.37,68006.3,0.4,2,1.72,16.9,1.0503,138.27,160.762,1.048,1793.3,0,226.763,66.001,180093.06,811.812
TRIP-0012,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,LNG,1.15,780.0,0.78,3855.3,10.73,98870.9,0.5816,2,1.38,8.0,1.037,359.3,320.074,1.048,1765.3,0,458.978,138.904,397502.84,1280.549
TRIP-0013,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,HFO,1.0,620.0,1.0,1496.8,12.91,136014.2,0.8001,2,0.8,10.4,1.0406,115.94,218.361,1.048,1785.8,0,273.893,55.532,209313.66,980.537
TRIP-0014,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Methanol,0.5,950.0,0.35,1047.9,15.87,15040.1,0.813,7,3.22,53.4,1.2301,66.03,235.171,1.032,875.1,0,319.901,84.73,319705.95,399.876
TRIP-0015,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,HFO,1.0,620.0,1.0,2311.0,10.32,14213.8,0.4442,6,2.67,39.5,1.1843,223.93,72.68,1.064,702.2,0,124.658,51.978,95037.96,446.276
TRIP-0016,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Methanol,0.5,950.0,0.35,834.1,15.43,12917.7,0.6983,4,1.97,19.2,1.1038,54.06,172.531,1.032,838.1,1,209.333,36.802,210166.35,261.666
TRIP-0017,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,Ammonia,0.46,1100.0,0.15,1790.1,14.27,148949.9,0.8762,1,0.86,7.2,1.0108,125.44,706.316,1.048,1781.8,1,853.118,146.802,973429.8,460.684
TRIP-0018,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Methanol,0.5,950.0,0.35,1345.6,12.75,56158.2,0.8023,2,1.78,13.7,1.0455,105.54,235.975,1.04,1076.1,1,307.854,71.879,311711.3,384.817
TRIP-0019,VESSEL-004,Feeder Container,22000,18500,9800,180.0,HFO,1.0,620.0,1.0,1754.4,17.3,14088.0,0.7615,2,1.47,17.9,1.0518,101.41,231.309,1.032,922.7,0,273.493,42.184,185365.66,979.105
TRIP-0020,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Methanol,0.5,950.0,0.35,1877.4,15.68,13457.8,0.7274,5,4.42,25.7,1.1386,119.73,403.612,1.032,864.5,1,530.265,126.653,515051.75,662.831
TRIP-0021,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,HFO,1.0,620.0,1.0,1377.8,11.35,138195.8,0.8129,2,1.5,15.1,1.0476,121.39,155.838,1.048,1814.9,0,218.461,62.623,174945.82,782.09
TRIP-0022,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,LNG,1.15,780.0,0.78,4100.1,11.59,86460.9,0.5086,3,2.51,20.8,1.0812,353.76,389.781,1.048,1809.5,1,576.292,186.511,484507.76,1607.855
